citizen_id,first_name,surname,date_of_birth,age,gender,indigenous_status,household_id,years_in_pandanus_reach,education_level,employment_sector,occupation,annual_income_aud,social_credit_score,tier,curfew_window,vehicle_owned,mobile_id,biometric_template_hash,registration_date
PR-00022,Jennifer,Robinson,2009-12-14,16,F,N,HH-00366,16,No formal,Student,Student  ,13260.0,643,C,20:00-06:00,N,0487911634,92dcde03b90f4ecc,2018-06-27
PR-00023,Brandon,Williams,2006-02-22,20,M,Y,HH-00934,12,Year 10,Government,Surveillance Operator,83150.0,515,C,20:00-06:00,Y,0481192277,af6142d32d9c5189,2020-02-20
PR-00024,Ricky,Henderson,2010-04-23,16,M,Y,HH-00587,10,Certificate III,Student,Student,16434.0,537,C,20:00-06:00,N,0447715268,beae59275140cfe8,2016-09-11
PR-00025,Whitney,Rice,1963-12-08,62,F,Y,HH-00682,15,Certificate III,Trades,Plumber,109540.0,537,C,20:00-06:00,Y,0432143753,231241e95fa0f9cd,2023-05-28
PR-00026,Alexandra,Le,2009-10-26,16,F,N,HH-00978,8,Certificate IV,Student,Student,14973.0,716,B,21:00-06:00,N,0495450010,ec5ee9c9cb93164f,2018-11-14
PR-00027,Derek,Davidson,1993-06-11,33,M,Y,HH-00933,12,Year 12,Pastoral,Bore Runner,47284.0,473,D,18:00-07:00 (strict),N,0468576625,52b60f1228856ea2,2017-06-09
PR-00028,Jody,Mckay,1991-10-29,34,F,Y,HH-00471,19,Certificate III,Retail,Hardware Store Clerk,44926.0,525,C,20:00-06:00,Y,0429871432,3ba35621a8b4afa4,2015-01-15
PR-00029,Kathryn,WHITE,1989-01-12,37,F,Y,HH-00987,4,Diploma,Pastoral,Stockman,54156.0,714,B,21:00-06:00,Y,0485597784,03970b6d7587b4c1,2023-07-16
PR-00030,Kenneth,Fowler,1976-03-26,50,X,N,HH-00533,10,Certificate III,Student,Student,16443.0,717,B,21:00-06:00,Y,0476855296,d794882e56324d00,2013-06-29
PR-00031,Pamela,Ryan,1971-01-27,55,F,Y,HH-00039,14,Certificate III,Retail,Hardware Store Clerk,40057.0,382,D,18:00-07:00 (strict),N,0424236463,214260f200a27f34,2018-10-11
PR-00032,April,Nguyen,2010-04-17,16,F,Y,HH-00310,0,Certificate III,Student,Student,20096.0,427,D,18:00-07:00 (strict),N,0489752745,4ac7acc4bedf04dc,2024-05-11
PR-00033,Sherry,Decker,2006-01-18,20,F,N,HH-00411,3,Year 12,Trades,Builder,62357.0,621,C,20:00-06:00,Y,0486391152,8cd4347f9935f668,2012-03-01
PR-00034,Shawn,Arroyo,1983-03-25,43,M,N,HH-01059,0,Year 12,Public Safety,Fire & Rescue,76550.0,722,B,21:00-06:00,Y,0419492426,0dd2b3752d462dc5,2018-02-26
PR-00035,Chad,Hodges,2004-08-31,21,X,N,HH-00604,0,Year 12,Health,GP,101019.0,628,C,20:00-06:00,Y,0463541768,6053caa0671d142a,2013-02-24
PR-00036,Karen,Pierce,2001-06-26,25,F,N,HH-00131,12,Year 12,Mining,Mine Safety Officer,123415.0,695,C,20:00-06:00,Y,0497787024,ac9f83e6d15e99b0,2023-07-26
PR-00037,Jay,Lewis,1992-05-08,34,M,Y,HH-00940,0,Postgraduate,Retail,Hardware Store Clerk,43237.0,671,C,20:00-06:00,N,0458190104,f382f81a6bfdd6f7,2021-07-28
PR-00038,Christina,Collins,1976-01-06,50,F,N,HH-00101,2,Certificate III,Education,Principal,86696.0,476,D,18:00-07:00 (strict),Y,0466783572,c76b4e5ef143d510,2020-06-13
PR-00039,Jessica,Holmes,1975-12-09,50,F,N,HH-00393,13,Certificate IV,Trades,Builder,117831.0,655,C,20:00-06:00,Y,0478899524,5650cfc48d9bb489,2014-07-01
PR-00040,Gina,Chapman,1974-11-18,51,F,N,HH-00295,5,Postgraduate,Trades,Electrician,56735.0,601,C,20:00-06:00,Y,0496869121,8e5dbcb6fcb80c2a,2014-06-08
PR-00041,Chad,Welch,2005-05-24,21,X,Y,HH-00266,4,Year 12,Unemployed,Unemployed,22278.0,401,D,18:00-07:00 (strict),N,0450320166,43607879d0e7540c,2024-01-11
PR-00042,Scott,Jones,1988-10-15,37,M,N,HH-00716,3,Year 10,Hospitality,Bartender,58292.0,682,C,20:00-06:00,Y,0424446145,9da1e47888c6e67b,2020-09-19
PR-00043,Jason,Anderson,2009-11-29,16,X,N,HH-00342,11,Certificate IV,Student,Student,15720.0,724,B,21:00-06:00,N,0444008132,6960e3035eb7b446,2019-05-07
PR-00044,Kaitlyn,Mueller,1993-02-28,33,F,N,HH-00713,19,Year 10,Public Safety,Regional Police Officer,88584.0,760,B,21:00-06:00,Y,0434099087,20d32038e970d793,2014-01-07
PR-00045,Brent,Jordan,1970-12-25,55,M,Y,HH-00158,0,Certificate IV,Retail,Hardware Store Clerk,42961.0,460,D,18:00-07:00 (strict),N,0499960756,00c6a81aef67048b,2017-11-21
PR-00046,Nicholas,NUNEZ,2001-08-21,24,M,N,HH-01060,17,Year 12,Health,GP,100956.0,772,B,21:00-06:00,Y,0491074604,0ff375f145dc4773,2012-09-24
PR-00047,Jennifer,Morgan,1985-07-31,40,F,Y,HH-00315,13,Year 10,Mining,FIFO Drill Operator,109987.0,396,D,18:00-07:00 (strict),Y,0471762034,7990a4528ac1d1f3,2014-11-01
PR-00048,Connor,West,2009-08-02,16,M,N,HH-00161,9,Year 12,Student,Student,15441.0,712,B,21:00-06:00,N,0492778089,a94b97e5d5a73cb0,2015-04-03
PR-00049,Danielle,Leblanc,1996-07-19,29,F,N,HH-01102,18,Bachelor,Retail,Hardware Store Clerk,42378.0,816,B,21:00-06:00,Y,0428134687,2de6ace27995b7b9,2023-05-31
PR-00050,Krista,Williams,1988-04-03,38,F,Y,HH-00798,16,Year 12,Student,Student,19299.0,490,D,18:00-07:00 (strict),N,0497206603,dc4e00d2ab6d002b,2023-01-21
PR-00051,Wayne,House,1979-12-01,46,M,N,HH-01020,8,Year 10,Unemployed,Unemployed,18424.0,717,B,21:00-06:00,N,0429886456,fa5ef8bb148fa0c4,2013-09-06
PR-00052,John,Lewis,1976-12-08,49,M,Y,HH-00676,12,No formal,Mining,Mine Safety Officer,127077.0,410,D,18:00-07:00 (strict),Y,0470333053,f24ba36d4162157e,2012-03-04
PR-00053,Nicholas,Galloway,1986-03-08,40,X,Y,HH-01108,12,Year 12,Indigenous Services,Indigenous Ranger,93603.0,429,D,18:00-07:00 (strict),Y,0467953597,206813f36553af6c,2022-04-30
PR-00054,Jesse,Henderson,1988-10-29,37,M,N,HH-00060,5,No formal,Trades,Welder,72876.0,723,B,21:00-06:00,Y,0463644191,cc08a7a9c1f09ebc,2025-04-15
PR-00055,Justin,Higgins,1971-10-25,54,M,N,HH-00354,5,Year 12,Trades,Builder,72503.0,671,C,20:00-06:00,Y,0412552775,5121898d2ed1d019,2015-07-05
PR-00056,Wayne,Riley,1980-09-19,45,M,Y,HH-00933,5,Bachelor,Unemployed,Unemployed,18182.0,417,D,18:00-07:00 (strict),Y,0493576934,074c3f949a91e0c8,2021-10-28
PR-00057,Amy,Silva,1983-11-24,42,F,N,HH-00079,10,Diploma,Mining,Haul Truck Driver,146654.0,550,C,20:00-06:00,Y,0468802221,639137184e2a5f80,2023-04-16
PR-00058,Christopher,Yu,1975-10-27,50,M,Y,HH-00191,11,Bachelor,Government,Civic Harmony Auditor,83630.0,611,C,20:00-06:00,Y,0472876614,79276f1cbfc127f1,2013-12-15
PR-00059,Kurt,Leonard,1979-02-12,47,M,N,HH-00990,11,Bachelor,Health,Mental Health Clinician,69529.0,625,C,20:00-06:00,Y,0458352683,55bd8e804b9aeb05,2013-01-11
PR-00060,Steve,Sanchez,1990-04-18,36,M,N,HH-00801,10,Certificate IV,Government,Council Officer,100249.0,832,B,21:00-06:00,Y,0436774319,3b6d21c0d59e5ee4,2020-01-09
PR-00061,Jason,Silva,1991-09-02,34,M,N,HH-00425,12,Year 12,Public Safety,St John Ambulance Volunteer,121602.0,728,B,21:00-06:00,Y,0416314854,aa7273ee10a2a8c6,2024-06-09
PR-00062,Christina,Moran,2003-01-04,23,F,N,HH-00741,0,Year 12,Health,GP,30717.0,670,C,20:00-06:00,N,0477575794,73ed167b935c625b,2016-11-22
PR-00063,Megan,Evans,2010-06-02,16,F,N,HH-00250,11,Certificate IV,Student,Student,14308.0,742,B,21:00-06:00,Y,0440077607,a865a728737e82b2,2021-11-17
PR-00064,Benjamin,Ellis,1989-02-27,37,M,N,HH-00382,5,Bachelor,Public Safety,Regional Police Officer,72530.0,711,B,21:00-06:00,Y,0430290817,6ddb7d2671dcdf06,2025-04-19
PR-00065,Charles,Lewis,1967-09-09,58,X,N,HH-00099,22,Bachelor,Retail,Hardware Store Clerk,50040.0,466,D,18:00-07:00 (strict),N,0424888885,8b124a42d3eeb703,2024-06-01
PR-00066,Shirley,Suarez,2009-08-26,16,F,N,HH-01067,0,Bachelor,Student,Student,16255.0,555,C,20:00-06:00,Y,0424148036,6ce926c292d2e073,2013-07-24
PR-00067,Roy,Warner,2002-08-18,23,M,Y,HH-00933,22,Diploma,Health,Aboriginal Health Worker,131777.0,508,C,20:00-06:00,Y,0476892907,a555b4b24dbe50fd,2025-03-04
PR-00068,Martha,Smith,1979-04-25,47,F,N,HH-00662,12,Year 10,Government,Regional Admin Field Officer,55902.0,822,B,21:00-06:00,Y,0465800998,2ddd067071d26cda,2015-07-18
PR-00069,Mary,Mcmillan,2001-03-03,25,F,N,HH-00359,11,Certificate III,Education,Skills Institute Lecturer,72400.0,556,C,20:00-06:00,Y,0459987561,2eb4f8a789c9b64e,2012-12-20
PR-00070,Brian,Tran,1998-01-04,28,M,N,HH-00399,7,Certificate III,Government,Civic Harmony Auditor,67649.0,836,B,21:00-06:00,Y,0467555628,e67f724d0b39b8de,2019-10-27
PR-00071,Mitchell,Harris,1996-12-10,29,M,N,HH-00786,12,Postgraduate,Student,Student  ,12651.0,509,C,20:00-06:00,Y,0411335293,b23e3a0e19a755ff,2015-01-18
PR-00072,Tracy,Whitehead,1999-06-02,27,X,Y,HH-00101,19,Certificate III,Student,Student,12351.0,528,C,20:00-06:00,Y,0414978636,f161636499a874ef,2012-08-23
PR-00073,Jeff,Hill,1960-09-25,65,M,Y,HH-00458,0,Bachelor,Retail,Bottleshop Attendant,49044.0,640,C,20:00-06:00,N,0466278204,68de041d837caaa3,2022-02-23
PR-00074,Mark,Green,1986-07-27,39,M,N,HH-00778,8,Postgraduate,Unemployed,Unemployed,25493.0,625,C,20:00-06:00,Y,0447551535,2782b8a4afe134d7,2019-01-28
PR-00075,Ronald,Smith,1989-08-31,36,X,N,HH-00450,8,Certificate IV,Retail,Hardware Store Clerk,55371.0,653,C,20:00-06:00,N,0493800137,06d1b1bd577ddb27,2023-09-19
PR-00076,Rebecca,Gardner,1979-08-13,46,X,N,HH-00570,11,Bachelor,Health,Mental Health Clinician,48005.0,798,B,21:00-06:00,N,0421311994,200acc2aaf9b0d19,2019-07-05
PR-00077,Brittany,Anderson,1973-10-11,52,F,N,HH-00607,17,Bachelor,Retail,Bottleshop Attendant,35728.0,706,B,21:00-06:00,N,0482583635,7a969ce684a4b883,2023-12-09
PR-00078,Rebecca,Valencia,1982-03-24,44,F,Y,HH-00456,20,Year 10,Hospitality,Pub Manager,58070.0,414,D,18:00-07:00 (strict),N,0482468532,9eb243cb4f34c9b6,2014-04-18
PR-00079,John,Garcia,1982-03-01,44,X,Y,HH-00331,0,Year 10,Retail,Bottleshop Attendant,37367.0,621,C,20:00-06:00,Y,0460060376,6c2f18a3cfb25601,2023-09-24
PR-00080,Jennifer,Oliver,2009-08-17,16,F,N,HH-00402,16,Year 10,Student,Student,16816.0,664,C,20:00-06:00,N,0426743635,01d18e91e195937d,2024-05-15
PR-00081,Sean,Cherry,1990-02-07,36,M,N,HH-00823,3,No formal,Mining,Haul Truck Driver,114541.0,754,B,21:00-06:00,Y,0488060201,dd3a88c9c7f01378,2023-09-10
PR-00082,Angel,Doyle,1972-08-26,53,X,N,HH-00573,9,Year 12,Indigenous Services,Land Council Liaison,71967.0,832,B,21:00-06:00,Y,0486875315,7d822c482179dc27,2024-05-20
PR-00083,Robert,Shields,2001-12-25,24,M,N,HH-00479,11,Certificate III,Government,Compliance Inspector,83545.0,607,C,20:00-06:00,Y,0458488507,4ad95a4e8e161b6b,2015-02-02
PR-00084,Richard,Rodriguez,1977-05-23,49,M,Y,HH-01077,4,Year 10,Health,Remote Area Nurse,95386.0,429,D,18:00-07:00 (strict),N,0473921605,dba165677369ded7,2023-05-16
PR-00085,Daniel,Velasquez,1965-11-29,60,M,Y,HH-00253,18,Certificate III,Health,Pharmacist,78943.0,528,C,20:00-06:00,Y,0445392370,9ac9a362391fc218,2015-08-17
PR-00086,Laura,Perez,1957-11-04,68,X,N,HH-00148,9,Diploma,Retired,Retired,24115.0,681,C,20:00-06:00,N,0465958370,8de97946561c0c23,2014-01-21
PR-00087,Garrett,Lin,1986-04-28,40,M,N,HH-00682,14,Year 10,Education,Principal,75521.0,409,D,18:00-07:00 (strict),Y,0481020117,0125cfbf6c1d4be9,2015-04-06
PR-00088,Margaret,Ross,1973-07-23,52,F,Y,HH-00262,0,Year 12,Retail,Bottleshop Attendant,47276.0,533,C,20:00-06:00,N,0490745413,dcd0290e46e29c18,2018-11-10
PR-00089,Todd,Wilson,1979-05-17,47,M,Y,HH-00160,5,Year 10,Mining,Mine Geologist,123293.0,727,B,21:00-06:00,Y,0460259138,c52b9ae443e4ffc4,2013-11-08
PR-00090,Tonya,Baker,1990-02-09,36,F,N,HH-00702,8,Bachelor,Public Safety,Correctional Officer,97599.0,816,B,21:00-06:00,Y,0450958413,a7f84dca1020dfde,2017-06-08
PR-00091,Monica,Edwards,1985-03-22,41,F,Y,HH-00521,25,Year 12,Mining,Process Plant Technician,,662,C,20:00-06:00,N,0466045988,f785a7423de07ffd,2018-07-06
PR-00092,James,Ray,1980-09-21,45,M,Y,HH-00203,16,Certificate III,Government,Surveillance Operator,106670.0,511,C,20:00-06:00,Y,0491296981,803a863b748053f9,2021-04-11
PR-00093,Aaron,Frost,1985-05-01,41,M,N,HH-01122,15,Certificate IV,Education,Principal,88131.0,575,C,20:00-06:00,Y,0453649791,1841c2c99447bf08,2021-06-04
PR-00094,Natalie,Lambert,1979-08-27,46,F,N,HH-00335,9,Postgraduate,Health,GP,33661.0,647,C,20:00-06:00,Y,0416149817,db099f37e822c3cc,2012-05-01
PR-00095,Matthew,Rivera,1961-02-24,65,M,N,HH-00153,12,Certificate IV,Unemployed,Unemployed,15345.0,743,B,21:00-06:00,N,0451452887,59547bf008b631a3,2023-03-23
PR-00096,Jennifer,Evans,2009-08-08,16,X,Y,HH-01147,16,Postgraduate,Student,Student,15243.0,416,D,18:00-07:00 (strict),N,0417096679,797a3e45e9927c4a,2017-01-26
PR-00097,Richard,Phillips,2005-10-11,20,X,Y,HH-00310,8,Certificate IV,Unemployed,Unemployed,15074.0,355,D,18:00-07:00 (strict),N,0412546591,9943cb6e3666ec94,2017-03-28
PR-00098,Teresa,Byrd,1993-03-25,33,F,Y,HH-00738,14,Year 10,Unemployed,Unemployed,18115.0,595,C,20:00-06:00,N,0453007542,85505bce03889ef9,2019-12-21
PR-00099,Eric,Kelley,1992-09-10,33,M,Y,HH-00231,10,Year 12,Mining,Mine Safety Officer,151489.0,636,C,20:00-06:00,Y,0480853774,2930b1accb88c630,2015-05-15
PR-00100,Jessica,CARPENTER,1977-12-29,48,F,Y,HH-00222,2,Year 12,Mining,Mine Geologist,89378.0,457,D,18:00-07:00 (strict),Y,0422029742,8f5bfd940218a107,2017-11-11
PR-00101,Jeremy,Lewis,1984-02-04,42,M,N,HH-01003,32,Certificate IV,Trades,Diesel Mechanic,85332.0,669,C,20:00-06:00,Y,0413646855,36332455688701f7,2023-12-20
PR-00102,Rebecca,Jackson,1994-02-06,32,F,N,HH-00900,16,Bachelor,Government,Surveillance Operator,80892.0,762,B,21:00-06:00,Y,0426235817,361aca7109c72367,2018-07-27
PR-00103,Mackenzie,Rogers,2002-03-25,24,F,Y,HH-01008,13,Postgraduate,Pastoral,Bore Runner,70789.0,633,C,20:00-06:00,Y,0452726394,311601e07cbf518c,2021-11-13
PR-00104,Michael,Walker,2009-09-24,16,M,N,HH-00312,14,Year 10,Student,Student,13286.0,513,C,20:00-06:00,N,0412499514,194ceb7e24343c8d,2011-09-11
PR-00105,Danielle,Alvarez,1991-09-29,34,F,N,HH-00428,6,Diploma,Trades,Electrician,103573.0,763,B,21:00-06:00,Y,0426853900,1e67b2c6e090fe0a,2012-05-16
PR-00106,Jennifer,Soto,1974-09-26,51,F,N,HH-00838,40,Year 12,Mining,Process Plant Technician,140654.0,608,C,20:00-06:00,N,0460104178,f62d5119c23a5cf3,2021-02-06
PR-00107,Troy,Sanchez,1993-04-13,33,X,N,HH-00187,2,No formal,Hospitality,Cook,33015.0,710,B,21:00-06:00,N,0415609238,253a878a69438a02,2011-06-07
PR-00108,Nicole,Carrillo,1999-11-12,26,F,N,HH-00902,9,Year 10,Trades,Electrician,102827.0,592,C,20:00-06:00,N,0474717944,022cc3ad85c205e9,2017-04-21
PR-00109,Casey,Rubio,1995-09-05,30,F,Y,HH-01005,15,Certificate IV,Student,Student,18253.0,552,C,20:00-06:00,N,0416104857,29f277b93be2f63d,2012-01-21
PR-00110,David,Charles,2000-10-06,25,M,N,HH-00568,11,Diploma,Government,Surveillance Operator,80899.0,671,C,20:00-06:00,Y,0484689357,2c9dec0f5a696fd1,2022-07-28
PR-00111,Mary,TRAVIS,1968-12-05,57,F,Y,HH-00307,0,Certificate IV,Public Safety,Fire & Rescue,89626.0,452,D,18:00-07:00 (strict),N,0470762792,959116a2fe59f975,2024-08-26
PR-00112,Stephanie,Salazar,2010-03-01,16,F,N,HH-01132,16,Year 12,Student,Student,16101.0,712,B,21:00-06:00,N,0490465362,7e8748db33426c98,2018-06-02
PR-00113,Sandra,Kelley,1959-07-09,67,F,N,HH-01109,11,Certificate IV,Retired,Retired,31980.0,695,C,20:00-06:00,Y,0473958633,21b3268c4196727c,2021-10-06
PR-00114,Karen,Green,1965-07-11,61,F,N,HH-00923,0,Diploma,Health,Mental Health Clinician,81799.0,757,B,21:00-06:00,Y,0497120361,ead6d5483cbdd10f,2020-04-12
PR-00115,Pamela,Boyd,2009-10-02,16,F,Y,HH-00177,6,Diploma,Student,Student,14843.0,717,B,21:00-06:00,Y,0460516391,7d43d3ab4b67bfcd,2015-03-14
PR-00116,Chris,Mitchell,1956-01-16,70,X,N,HH-00268,0,Year 10,Retired,Retired,36259.0,576,C,20:00-06:00,Y,0435902794,e7c152f3f5b21b0c,2015-10-30
PR-00117,Joshua,Taylor,2002-07-02,24,M,Y,HH-00416,5,Year 12,Government,Compliance Inspector,88442.0,565,C,20:00-06:00,Y,0493917830,ddabeea93c904cda,2021-01-25
PR-00118,Michelle,Brown,1985-03-19,41,F,Y,HH-00099,2,Certificate III,Health,Aboriginal Health Worker,100150.0,387,D,18:00-07:00 (strict),Y,0491339562,cdc6c696e690d43a,2018-12-13
PR-00119,Jason,Clark,1982-07-08,44,M,Y,HH-00547,13,Certificate IV,Health,Aboriginal Health Worker,60482.0,679,C,20:00-06:00,Y,0484059354,ed4a5fdf52515eed,2024-01-08
PR-00120,Kevin,Dominguez,2002-08-03,23,M,N,HH-00024,15,Certificate IV,Trades,Welder,69570.0,543,C,20:00-06:00,Y,0427212939,225149e0507cd491,2022-01-26
PR-00121,Jamie,Smith,1985-05-06,41,F,Y,HH-00864,15,Year 12,Pastoral,Station Manager,89027.0,518,C,20:00-06:00,Y,0481530199,efb58aebde5af6de,2021-11-25
PR-00122,Melissa,Ashley,2004-02-27,22,X,N,HH-00439,0,Postgraduate,Unemployed,Unemployed,21582.0,717,B,21:00-06:00,N,0497245556,6691ab3f92bf51a7,2021-10-26
PR-00123,Kimberly,Morrison,2000-01-23,26,F,N,HH-00680,14,Year 10,Student,Student,11074.0,667,C,20:00-06:00,N,0476514912,555a8a6294dcbdaf,2014-06-04
PR-00124,Jessica,Johnson,1963-10-25,62,F,N,HH-00684,16,Year 10,Unemployed,Unemployed,16580.0,678,C,20:00-06:00,N,0481458898,f1b30114b05b67b0,2020-11-10
PR-00125,Jared,Martin,1974-02-02,52,M,Y,HH-00813,1,Bachelor,Mining,Process Plant Technician,189962.0,475,D,18:00-07:00 (strict),N,0440283277,027d00e3885803de,2013-02-20
PR-00126,Marcus,Johnson,2010-05-27,16,M,N,HH-00576,16,Year 12,Student,Student,12846.0,533,C,20:00-06:00,Y,0494019584,b6b3d6a4db40f6f7,2019-04-03
PR-00127,Alyssa,DAY,1983-06-27,43,F,N,HH-00214,13,Bachelor,Public Safety,Fire & Rescue,70678.0,595,C,20:00-06:00,Y,0473562365,e2a4eb05360a127a,2017-10-25
PR-00128,Anthony,Gray,1974-01-20,52,M,N,HH-01062,19,Postgraduate,Indigenous Services,Land Council Liaison,68701.0,788,B,21:00-06:00,Y,0493156815,48b255137ccfe770,2015-12-06
PR-00129,Philip,Gray,1985-05-23,41,M,N,HH-00540,5,No formal,Hospitality,Roadhouse Attendant,50992.0,675,C,20:00-06:00,N,0460653117,16b3185429f55d9a,2022-12-31
PR-00130,Darlene,Miller,1982-07-21,43,F,Y,HH-00442,3,Year 10,Unemployed,Unemployed,23212.0,397,D,18:00-07:00 (strict),N,0467960448,707a17d86a3f5f7e,2018-11-27
PR-00131,Zoe,Bell,1977-05-21,49,F,N,HH-00143,3,Bachelor,Hospitality,Caravan Park Host,62342.0,588,C,20:00-06:00,Y,0492852868,ffce623735273f5a,2022-04-16
PR-00132,Matthew,Webster,1980-03-14,46,M,N,HH-00994,22,Certificate III,Public Safety,Regional Police Officer,80415.0,793,B,21:00-06:00,Y,0467459379,fc83148373ed9bda,2014-02-22
PR-00133,Andrew,Hernandez,1974-08-30,51,X,Y,HH-00247,0,Certificate III,Trades,Diesel Mechanic,65204.0,442,D,18:00-07:00 (strict),Y,0435834405,10438ac2c911f49c,2020-09-21
PR-00134,Kristy,Robinson,1968-05-23,58,F,Y,HH-00346,12,Postgraduate,Trades,Electrician,87998.0,812,B,21:00-06:00,Y,0478303134,e90a8d85f3afe312,2022-02-02
PR-00135,Carol,Lawson,2010-01-04,16,F,N,HH-00738,16,Year 12,Student,Student,7370.0,751,B,21:00-06:00,Y,0415915081,54c515c822aa0bd7,2012-12-15
PR-00136,Sabrina,Oconnell,1990-05-05,36,F,Y,HH-00127,9,Year 12,Student,Student,5510.0,521,C,20:00-06:00,N,0429545414,5c5c2eee1a6c015b,2011-09-18
PR-00137,Eric,Byrd,2009-11-06,16,M,Y,HH-00806,14,No formal,Student,Student,19773.0,396,D,18:00-07:00 (strict),N,0498271886,32231bf0a87a2787,2016-11-27
PR-00138,Miguel,Jones,1979-06-13,47,M,Y,HH-00207,0,Certificate III,Hospitality,Roadhouse Attendant,42440.0,597,C,20:00-06:00,Y,0436893461,d76fc79be0a45744,2020-02-19
PR-00139,Brian,Barton,1976-06-07,50,M,N,HH-00102,15,Certificate IV,Trades,Builder,89769.0,501,C,20:00-06:00,Y,0487632976,0149322bf1ff924b,2019-10-04
PR-00140,David,Riggs,1984-01-21,42,X,N,HH-00943,8,Year 10,Health,GP,61206.0,753,B,21:00-06:00,N,0415662934,b7368ab61e049ec1,2016-03-19
